id,text,channel,date
1,When I export to PDF on Safari I get an empty document.,email,2026-05-12
2,Unsubscribe me from the newsletter please.,email,2026-05-08
3,Upgraded my plan and got billed for both the old and new price.,review,2026-05-03
4,Why does it forget my login so fast? Competitors keep me signed in for days.,review,2026-05-05
5,Got charged the monthly fee twice on the same day.,review,2026-05-08
6,Downloading a PDF produces a corrupted file that won't open.,support,2026-05-16
7,My invoice shows one seat but I was billed for two.,twitter,2026-05-06
8,Performance of search has degraded a lot this month.,chat,2026-05-10
9,The verification email never arrives so I can't finish signing up.,support,2026-05-05
10,Tapping a button on mobile triggers the one next to it because they overlap.,email,2026-05-18
11,"Phone layout is broken after the latest update, was fine before.",chat,2026-05-20
12,I was charged twice this month for the same subscription.,twitter,2026-05-11
13,"PDF export is unusable, just produces empty documents.",review,2026-05-17
14,Why is there a second charge on my account for the same amount?,twitter,2026-05-21
15,There are two identical charges on my statement from you this week.,support,2026-05-15
16,"Can't use the app on my phone, the layout is completely broken.",twitter,2026-05-13
17,Images break out of their container on mobile and push text off-screen.,email,2026-05-13
18,"No welcome or verification email after registering, account stuck unverified.",email,2026-05-04
19,Why do I keep getting signed out? I've had to log back in five times this hour.,email,2026-05-21
20,Is the API rate limit documented anywhere public?,email,2026-05-02
21,All my exported PDFs this week have been blank. Was working last month.,review,2026-05-03
22,"The 'Export PDF' button downloads nothing useful, file is 0 bytes.",review,2026-05-15
23,The search bar lags so badly it's faster to scroll manually.,review,2026-05-04
24,The confirm-your-email message isn't delivered to my work address.,chat,2026-05-20
25,"Great app, five stars, keep it up!",support,2026-05-04
26,The app logs me out every few minutes and I lose whatever I was typing.,support,2026-05-19
27,"Just wanted to say the new dashboard looks fantastic, great work team.",review,2026-05-18
28,It takes 20 seconds to search across my projects. Way too slow.,support,2026-05-12
29,The mobile header overlaps the first row of my data table.,twitter,2026-05-01
30,Billing charged me twice and support hasn't responded in days.,support,2026-05-07
31,"Text is cut off on the right edge on mobile, can't read full sentences.",twitter,2026-05-13
32,"Duplicate charge on my account, the receipt emails both arrived a minute apart.",review,2026-05-21
33,"Can't create an account, the verify-email step never emails me.",chat,2026-05-12
34,I can't stay signed in long enough to actually get anything done.,twitter,2026-05-12
35,Got kicked out again while filling in a form. Incredibly frustrating.,email,2026-05-04
36,Payment retried after a glitch and now I've paid twice.,support,2026-05-16
37,Could you add a dark mode? Would be a nice touch.,email,2026-05-16
38,"Stuck on the 'verify your email' step, no email ever lands in my inbox.",email,2026-05-10
39,"The confirmation link email goes nowhere, checked spam too.",support,2026-05-05
40,"Everything is misaligned on mobile, looks like the CSS didn't load.",support,2026-05-11
41,PDF download finishes but Acrobat says the file is damaged.,chat,2026-05-16
42,"Confirmation email landed 6 hours late, by then the token was invalid.",review,2026-05-17
43,Mobile view zooms in weirdly and I have to pinch constantly to use it.,support,2026-05-07
44,"Billed twice for the team plan, finance is asking me why.",twitter,2026-05-12
45,Can I integrate this with my calendar app somehow?,review,2026-05-18
46,On my iPhone the navigation menu covers half the screen and I can't tap anything.,support,2026-05-17
47,Searching my workspace times out constantly when I have a lot of items.,chat,2026-05-21
48,Repeated forced logouts since this week. Used to be fine.,support,2026-05-09
49,"Search is really slow, takes over 10 seconds to return anything on large projects.",twitter,2026-05-12
50,"PDF export drops images and tables, exports an empty shell.",review,2026-05-12
51,The autocomplete in search is delayed by several seconds per keystroke.,review,2026-05-18
52,I stay logged in for maybe 10 minutes then it dumps me back to the login screen.,twitter,2026-05-17
53,"Tried Chrome and Firefox, PDF export is blank in both.",chat,2026-05-21
54,Session keeps expiring mid-task. Just lost 20 minutes of unsaved work.,review,2026-05-20
55,"Landscape mode on mobile is a mess, controls overlap the content.",review,2026-05-08
56,There's an unexpected duplicate transaction from you on my credit card.,email,2026-05-08
57,"I cancelled but was still charged, and twice at that.",review,2026-05-17
58,It signed me out in the middle of checkout and I had to start over.,email,2026-05-12
59,On Android the form fields are squished together and overlap the labels.,support,2026-05-01
60,"I see a duplicate charge for my annual plan, need that reversed.",chat,2026-05-16
61,"Search latency is unacceptable, 10-20 seconds every time.",chat,2026-05-07
62,"PDF comes out empty unless I wait and retry several times, very flaky.",twitter,2026-05-12
63,"My card got billed two times for one invoice, please refund the duplicate.",email,2026-05-12
64,Do you have an office in Europe? Just curious.,chat,2026-05-03
65,I need to send a PDF to a client but every export is blank. Urgent.,review,2026-05-04
