id,text,channel,date
1,Files tab on iOS equals crash. Worked fine on iOS 17. iPhone 15 Plus.,appstore,2026-05-13
2,Where can I see my recent activity?,support,2026-05-11
3,Why no native Linux desktop app? Web is fine but a wrapper would be nice.,review,2026-05-11
4,"Saw your team at the conference last week, great talk!",email,2026-05-16
5,Slack notifications are duplicating since last week's update. Have to mute the channel.,slack,2026-05-09
6,"@nimbusapp iOS app crashes opening Files on iOS 18, please push a fix",twitter,2026-05-12
7,Where do I change my notification settings?,support,2026-05-07
8,"Nimbus document just ate forty minutes of my work. No warning, no conflict prompt, just gone.",support,2026-05-22
9,Upgraded from Team to Business plan yesterday and got charged twice. Stripe shows two charges.,support,2026-05-15
10,Sync indicator says synced. Refresh. Content from ten minutes ago. Lost ten minutes of writing.,chat,2026-05-21
11,"Files tab crashes the iOS app. Other tabs work. iOS 18.1.1, iPhone 14.",review,2026-05-11
12,Boards over 500 items are super slow. We're considering moving to a competitor for this alone.,email,2026-05-07
13,Our Okta SSO logs in then bounces straight back to the login screen. Cannot get into Nimbus today.,chat,2026-05-26
14,Thanks for the quick response yesterday.,email,2026-05-22
15,Best PM tool I've used. Sticking with Nimbus.,review,2026-05-18
16,How is data loss happening in 2026 on a paid product? Lost a doc this morning.,twitter,2026-05-22
17,How do I invite an external collaborator?,support,2026-05-09
18,"App keeps redirecting me back to login after I sign in via Google. Cleared cache, no change.",chat,2026-05-23
19,Big boards (1k+ items) are getting slower every release. Now barely usable.,review,2026-05-08
20,'Document was saved successfully' the toast said. Then I refreshed and half my content was gone.,support,2026-05-21
21,test test,chat,2026-05-25
22,What's the keyboard shortcut for new task?,chat,2026-05-10
23,"Slack integration is broken, same notification arrives three times in a row.",slack,2026-05-09
24,delete this,support,2026-05-24
25,Mondays.,twitter,2026-05-18
26,Are you guys hiring engineers? Send me details.,email,2026-05-17
27,@nimbusapp SSO loop happening for everyone on our team in Berlin. Burning hours on this.,twitter,2026-05-26
28,Reach me at +44 20 7946 0958 to refund the double charge. I have screenshots.,support,2026-05-15
29,Why does software exist.,twitter,2026-05-22
30,Page transitions in dark mode briefly show the light theme. It's jarring.,review,2026-05-03
31,Crashes consistently on Files since I updated to iOS 18 last week. Two stars until fixed.,appstore,2026-05-13
32,"Slack integration is way too noisy, every micro-edit pings the channel. Cannot keep this on.",support,2026-05-07
33,Billing double-charged us for the seat add-on. Stripe receipts show identical line items.,support,2026-05-16
34,Webhook payloads are missing the user_id field after the v3 update.,email,2026-05-17
35,Can I get a refund for the trial?,support,2026-05-18
36,Please add custom emoji reactions in comments.,chat,2026-05-15
37,Will the price stay the same if I upgrade now? Worried about hidden fees.,support,2026-05-13
38,Dark mode flickers to light mode whenever a modal opens. Annoying but minor.,review,2026-05-02
39,What's the cheapest plan that supports SSO?,email,2026-05-11
40,Getting four Slack notifications for every single comment in Nimbus. We disabled the integration.,slack,2026-05-08
41,Board with 1200 cards takes 45 seconds to render. Was 15 seconds two months ago.,support,2026-05-06
42,Switched my whole team from Asana to Nimbus and we're never going back.,review,2026-05-17
43,Modals don't inherit dark mode. White flash every time I open one.,chat,2026-05-02
44,Have all engineering managers locked out due to SSO. This is impacting standups.,chat,2026-05-26
45,Will you ever add Mandarin language support? Some of our team would love it.,email,2026-05-10
46,Dark mode is incomplete. Settings panel and modals still render in light theme.,review,2026-05-04
47,I upgraded a week ago and now I see TWO recurring charges every month. Cancel the old one please.,email,2026-05-17
48,Search doesn't find archived items. Took me an hour to find a doc.,support,2026-05-16
49,The team loves Nimbus. Keep up the great work.,email,2026-05-21
50,iOS 18 user reporting: opening Files immediately crashes Nimbus. Crash log: https://gist.github.com/x9f4a,support,2026-05-12
51,is this thing on,chat,2026-05-25
52,Just shipped our quarterly roadmap with Nimbus. Honestly amazing tool.,twitter,2026-05-20
53,Boards with more than 500 cards take 30+ seconds to load. We have boards with 2000 cards.,chat,2026-05-05
54,Real-time collab silently drops keystrokes when connection wobbles. Have logs at https://gist.github.com/abc123def,support,2026-05-20
55,Do you offer an annual billing discount? Currently on monthly.,support,2026-05-10
56,"Tried Okta, tried email magic link, both kick me back to login screen. Lost half my morning.",review,2026-05-25
57,Okta admin here. SAML cert hasn't changed. Nimbus side keeps rejecting the assertion. Help.,support,2026-05-25
58,"Lost notes from yesterday's planning meeting. They were there last night, gone this morning.",email,2026-05-22
59,Slack notifications are duplicated. Every event fires twice in our #product channel.,slack,2026-05-08
60,Old plan was supposed to be cancelled on upgrade. Got billed for both this morning.,support,2026-05-16
61,"Hi team, SAML auth from our Azure AD just stopped working today. Two of our PMs locked out.",email,2026-05-25
62,I clicked upgrade once. Got two charges. Stripe shows them 4 seconds apart.,email,2026-05-14
63,SAML response looks valid in browser devtools but the app immediately invalidates the session.,support,2026-05-25
64,Marketing team request: change the logo color on our workspace?,support,2026-05-19
65,I see two charges on my card for the plan upgrade. Need a refund for the duplicate.,email,2026-05-14
66,Tooltips overflow the screen on the right edge in 1080p.,chat,2026-05-20
67,Duplicate Slack notifications every time I update a card. Reach me at maya.lee@bigco.com to test.,email,2026-05-08
68,Large board equals browser freeze for 30 seconds. Tab unresponsive until it loads everything.,chat,2026-05-04
69,"Hi, I'm a designer interested in joining your team. Where do I apply?",email,2026-05-15
70,Board load times are getting worse as we add more items. 1500-card board now takes a minute.,review,2026-05-06
71,Real-time editing is broken when two people are typing. Lost 20 minutes of meeting notes.,chat,2026-05-20
72,Your customer success team is excellent.,email,2026-05-22
